candidate	safety_perc
Bullock	0.023109243697478993
Hickenlooper	0.03773584905660377
Sanders	0.04590163934426229
ORourke	0.050724637681159424
Biden	0.05813953488372093
Yang	0.058394160583941604
Ojeda	0.05921052631578947
Clinton	0.06338028169014084
Inslee	0.06860706860706861
Bloomberg	0.06930693069306931
Warren	0.08048780487804878
Landrieu	0.08235294117647059
Gabbard	0.10104529616724739
Brown	0.10725552050473186
Delaney	0.11851851851851852
Booker	0.11904761904761904
Klobuchar	0.12048192771084337
Castro	0.12578616352201258
Buttigieg	0.12883435582822086
Merkley	0.15458937198067632
Steyer	0.16666666666666666
Swalwell	0.16863905325443787
Gillibrand	0.2013888888888889
Cuomo	0.21052631578947367
Harris	0.27873563218390807
